iter	Passed	Remaining
0	35	35442
1	53	26466
2	73	24547
3	91	22723
4	106	21231
5	122	20332
6	139	19780
7	156	19363
8	172	18994
9	189	18721
10	207	18627
11	223	18400
12	240	18245
13	256	18086
14	274	18035
15	292	17960
16	308	17863
17	325	17752
18	341	17640
19	358	17585
20	375	17518
21	392	17449
22	409	17379
23	426	17349
24	444	17322
25	461	17306
26	485	17486
27	503	17487
28	522	17496
29	542	17535
30	560	17525
31	581	17590
32	601	17620
33	621	17658
34	639	17626
35	656	17583
36	675	17577
37	693	17563
38	713	17574
39	731	17563
40	750	17552
41	769	17558
42	788	17552
43	806	17530
44	823	17483
45	840	17436
46	858	17406
47	878	17424
48	895	17389
49	913	17364
50	933	17365
51	953	17380
52	972	17374
53	1004	17590
54	1031	17717
55	1053	17759
56	1071	17725
57	1089	17691
58	1106	17652
59	1125	17629
60	1144	17616
61	1162	17591
62	1181	17578
63	1201	17573
64	1222	17587
65	1242	17583
66	1264	17608
67	1285	17614
68	1302	17575
69	1320	17542
70	1338	17515
71	1357	17492
72	1375	17471
73	1393	17438
74	1413	17427
75	1431	17406
76	1451	17396
77	1469	17366
78	1487	17336
79	1504	17302
80	1521	17259
81	1538	17219
82	1554	17173
83	1570	17125
84	1587	17090
85	1603	17046
86	1621	17013
87	1637	16973
88	1654	16940
89	1674	16926
90	1690	16888
91	1707	16851
92	1723	16813
93	1740	16775
94	1757	16742
95	1774	16707
96	1792	16688
97	1809	16653
98	1826	16620
99	1843	16587
100	1860	16559
101	1880	16555
102	1900	16547
103	1919	16537
104	1937	16518
105	1957	16505
106	1974	16480
107	1992	16456
108	2010	16431
109	2026	16399
110	2043	16369
111	2062	16356
112	2079	16322
113	2096	16292
114	2112	16259
115	2129	16225
116	2145	16190
117	2161	16154
118	2177	16121
119	2194	16089
120	2210	16056
121	2227	16027
122	2242	15992
123	2259	15962
124	2275	15930
125	2292	15898
126	2309	15875
127	2326	15846
128	2343	15823
129	2360	15796
130	2376	15765
131	2392	15734
132	2409	15706
133	2425	15674
134	2441	15644
135	2460	15631
136	2477	15604
137	2493	15574
138	2509	15542
139	2525	15513
140	2541	15483
141	2557	15451
142	2573	15421
143	2589	15394
144	2605	15363
145	2622	15340
146	2639	15318
147	2655	15289
148	2673	15266
149	2690	15245
150	2706	15219
151	2723	15196
152	2739	15167
153	2756	15140
154	2773	15122
155	2791	15102
156	2807	15076
157	2824	15051
158	2841	15028
159	2859	15013
160	2877	14997
161	2894	14974
162	2912	14954
163	2928	14930
164	2945	14907
165	2962	14884
166	2979	14861
167	2996	14837
168	3013	14815
169	3029	14792
170	3046	14769
171	3063	14747
172	3081	14732
173	3103	14730
174	3121	14713
175	3139	14698
176	3157	14682
177	3176	14667
178	3193	14649
179	3211	14628
180	3228	14608
181	3247	14595
182	3266	14582
183	3282	14555
184	3298	14532
185	3315	14509
186	3331	14482
187	3346	14456
188	3363	14431
189	3379	14407
190	3396	14384
191	3413	14364
192	3430	14343
193	3447	14322
194	3463	14296
195	3479	14271
196	3495	14246
197	3511	14224
198	3528	14202
199	3545	14181
200	3564	14168
201	3580	14146
202	3597	14124
203	3615	14106
204	3635	14099
205	3656	14094
206	3676	14084
207	3695	14070
208	3713	14056
209	3731	14036
210	3749	14019
211	3766	14001
212	3782	13975
213	3798	13949
214	3813	13925
215	3829	13898
216	3845	13875
217	3861	13850
218	3877	13828
219	3894	13806
220	3910	13783
221	3926	13760
222	3941	13733
223	3957	13711
224	3973	13685
225	3988	13660
226	4004	13636
227	4020	13614
228	4038	13598
229	4055	13577
230	4071	13554
231	4089	13539
232	4107	13521
233	4125	13504
234	4144	13490
235	4161	13472
236	4179	13456
237	4197	13439
238	4215	13421
239	4234	13409
240	4251	13389
241	4267	13367
242	4284	13347
243	4300	13325
244	4317	13304
245	4333	13282
246	4350	13262
247	4367	13244
248	4383	13220
249	4399	13198
250	4415	13176
251	4433	13158
252	4449	13137
253	4466	13117
254	4483	13097
255	4500	13078
256	4517	13059
257	4533	13037
258	4549	13015
259	4566	12996
260	4582	12975
261	4598	12953
262	4615	12933
263	4631	12912
264	4648	12892
265	4665	12873
266	4682	12856
267	4701	12841
268	4722	12832
269	4739	12814
270	4756	12796
271	4774	12779
272	4792	12762
273	4810	12744
274	4829	12732
275	4846	12714
276	4863	12694
277	4881	12677
278	4899	12661
279	4918	12648
280	4937	12634
281	4954	12614
282	4973	12600
283	4991	12583
284	5009	12567
285	5027	12550
286	5048	12542
287	5069	12534
288	5088	12519
289	5109	12509
290	5127	12492
291	5147	12479
292	5168	12472
293	5190	12463
294	5208	12447
295	5230	12439
296	5249	12425
297	5267	12407
298	5285	12391
299	5303	12373
300	5320	12354
301	5337	12337
302	5357	12324
303	5376	12310
304	5395	12294
305	5415	12281
306	5431	12261
307	5449	12243
308	5467	12226
309	5486	12210
310	5503	12191
311	5520	12172
312	5537	12154
313	5555	12136
314	5572	12118
315	5589	12099
316	5608	12084
317	5629	12074
318	5648	12057
319	5665	12039
320	5682	12019
321	5699	12000
322	5716	11980
323	5733	11961
324	5752	11947
325	5769	11927
326	5786	11908
327	5803	11889
328	5820	11870
329	5837	11852
330	5853	11831
331	5871	11814
332	5888	11795
333	5904	11774
334	5922	11756
335	5939	11738
336	5956	11718
337	5972	11697
338	5989	11679
339	6009	11664
340	6026	11646
341	6043	11627
342	6062	11611
343	6078	11591
344	6095	11573
345	6113	11555
346	6131	11537
347	6149	11520
348	6165	11500
349	6182	11482
350	6200	11465
351	6218	11447
352	6237	11433
353	6256	11416
